Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
336582,FR065748,IT Support,23721.6 RON,25-01-2018
814665,DE456232,Waste management services,255847 EUR,02-01-2018
722415,RO345879,IT Support,229132 EUR,02-01-2018
935415,FR329083,Various paper supplies,303846 USD,25-01-2018
546790,FR329083,Waste management services,134689 EUR,28-01-2018
518199,FR065748,Professional Services,42439.2 RON,28-01-2018
497036,FR065748,IT Support,300205 RON,13-01-2018
530909,DE456232,Waste management services,353414 EUR,21-01-2018
579805,RO094782,Concierge Services,211072 USD,21-01-2018
920619,RO874231,Various paper supplies,244829 EUR,18-01-2018
952979,FR329083,IT Support,258280 EUR,07-01-2018
876981,FR065748,Various paper supplies,205318 CAD,01-01-2018
180489,IT145632,Professional Services,209874 USD,21-01-2018
863501,RO094782,Beverages and Catering,81156 EUR,25-01-2018
367201,FR329083,Various paper supplies,180163 CAD,11-01-2018
510194,RO254678,Waste management services,284627 CAD,05-01-2018
847995,RO094782,Various paper supplies,302579 EUR,20-01-2018
527302,FR322345,Beverages and Catering,63187.2 USD,19-01-2018
926768,RO212121,IT Support,172864 RON,18-01-2018
818211,RO094782,Beverages and Catering,323215 CAD,02-02-2018
875425,RO212121,Beverages and Catering,238258 USD,27-02-2018
217796,FR065748,Waste management services,307388 CAD,22-02-2018
582989,RO254678,Various paper supplies,175614 CAD,24-02-2018
373681,DE767565,IT Support,249176 CAD,27-02-2018
153379,RO874231,Concierge Services,104615 RON,22-02-2018
865790,RO874231,Professional Services,280962 EUR,10-02-2018
153554,RO254678,Waste management services,25934.4 USD,25-02-2018
891322,IT754893,IT Support,40798.8 USD,0000-00-00
232728,IT145632,Concierge Services,13747.2 USD,22-02-2018
147241,IT754893,IT Support,110758 EUR,19-02-2018
420935,IT754893,Concierge Services,26432.4 CAD,08-02-2018
329812,RO212121,Various paper supplies,219911 USD,02-02-2018
203981,RO892123,Waste management services,14457.6 CAD,06-02-2018
707820,DE456232,Various paper supplies,312985 RON,04-02-2018
430423,RO874231,IT Support,225088 EUR,11-02-2018
402990,RO254678,Concierge Services,226618 CAD,0000-00-00
915245,RO212121,Beverages and Catering,195696 CAD,20-03-2018
436883,FR329083,Concierge Services,1377.6 USD,06-03-2018
242744,IT145632,Various paper supplies,188750 CAD,18-03-2018
921691,RO345879,Beverages and Catering,200704 USD,17-03-2018
899539,RO892123,Concierge Services,127494 USD,22-03-2018
631753,DE456232,Professional Services,199908 USD,02-03-2018
888841,FR322345,Various paper supplies,16381.2 CAD,27-03-2018
591142,RO892123,Professional Services,104161 CAD,06-03-2018
878280,RO874231,Professional Services,222180 EUR,22-03-2018
100198,FR322345,Various paper supplies,95533.2 CAD,16-03-2018
366760,RO892123,Waste management services,165786 USD,08-03-2018
798183,FR329083,Waste management services,353484 CAD,0000-00-00
889898,RO345879,Waste management services,333398 EUR,27-03-2018
653639,FR322345,IT Support,190784 EUR,16-03-2018
346277,DE767565,Waste management services,259517 CAD,02-03-2018
938566,IT754893,Waste management services,321613 CAD,07-03-2018
665459,IT754893,Beverages and Catering,50078.4 RON,11-03-2018
239663,RO212121,Waste management services,305112 CAD,27-04-2018
417835,RO874231,Various paper supplies,341882 RON,01-04-2018
747119,RO874231,IT Support,49310.4 RON,11-04-2018
944724,RO892123,IT Support,6844.8 EUR,25-04-2018
952822,RO874231,Concierge Services,334912 RON,22-04-2018
714481,RO094782,Beverages and Catering,8084.4 EUR,20-04-2018
899251,FR322345,IT Support,44348.4 USD,12-04-2018
356489,RO874231,Various paper supplies,83037.6 CAD,19-04-2018
725075,DE767565,IT Support,350513 CAD,18-04-2018
379837,RO212121,Concierge Services,322264 RON,28-05-2018
436650,FR065748,Waste management services,332695 USD,0000-00-00
691519,DE456232,Beverages and Catering,113010 EUR,23-05-2018
162507,DE767565,IT Support,109349 CAD,11-05-2018
759920,FR065748,Beverages and Catering,116623 EUR,05-05-2018
841615,FR329083,Beverages and Catering,214525 RON,21-05-2018
145695,IT145632,Concierge Services,48260.4 USD,05-05-2018
578761,RO892123,IT Support,88986 USD,03-05-2018
277046,RO254678,Concierge Services,118886 USD,10-05-2018
816852,DE456232,Waste management services,210018 EUR,24-05-2018
338071,RO892123,IT Support,180272 CAD,27-05-2018
100221,RO874231,Beverages and Catering,128028 USD,20-05-2018
533490,RO345879,Waste management services,347971 EUR,06-05-2018
272748,FR065748,Waste management services,67215.6 EUR,19-05-2018
990136,FR322345,Professional Services,114991 EUR,11-06-2018
398969,DE767565,Beverages and Catering,143149 USD,17-06-2018
107701,IT145632,IT Support,265051 EUR,23-06-2018
159472,RO892123,Concierge Services,186006 CAD,13-06-2018
993818,DE456232,Concierge Services,337033 CAD,11-06-2018
435474,FR329083,Beverages and Catering,267391 EUR,16-06-2018
546922,DE767565,Beverages and Catering,24128.4 RON,14-06-2018
305265,IT754893,IT Support,68864.4 EUR,26-06-2018
256490,DE456232,IT Support,189295 EUR,06-06-2018
382048,FR329083,Beverages and Catering,15165.6 EUR,17-06-2018
664197,RO874231,Concierge Services,120971 RON,28-06-2018
984468,RO874231,Beverages and Catering,11050.8 RON,23-06-2018
123628,DE767565,IT Support,262078 CAD,08-06-2018
700614,RO345879,Waste management services,78669.6 CAD,03-07-2018
108401,RO345879,Concierge Services,97104 USD,01-07-2018
992446,RO212121,Concierge Services,350334 USD,24-07-2018
196034,RO345879,Professional Services,261836 EUR,06-07-2018
315390,RO094782,IT Support,198257 CAD,18-07-2018
342386,FR065748,Waste management services,230839 EUR,10-07-2018
366666,RO254678,Professional Services,201869 USD,06-07-2018
574326,IT754893,Waste management services,291698 EUR,19-07-2018
255943,RO874231,IT Support,163979 RON,06-07-2018
581496,RO254678,Concierge Services,206288 USD,03-07-2018
677063,RO892123,Waste management services,137864 USD,22-07-2018
686396,FR329083,IT Support,259373 CAD,08-07-2018
574891,IT754893,Various paper supplies,180421 EUR,21-07-2018
430306,IT754893,Concierge Services,254454 CAD,10-07-2018
747346,IT145632,Various paper supplies,327218 RON,12-08-2018
919197,FR065748,Beverages and Catering,283694 CAD,18-08-2018
445408,RO094782,Waste management services,80110.8 USD,20-08-2018
871473,FR065748,IT Support,101933 CAD,08-08-2018
313675,RO892123,Waste management services,24116.4 CAD,04-08-2018
647522,RO212121,Concierge Services,191122 RON,09-08-2018
322072,RO874231,Concierge Services,305215 RON,19-08-2018
601208,FR329083,Beverages and Catering,289798 USD,14-08-2018
775570,FR065748,Beverages and Catering,256988 USD,27-08-2018
427087,RO094782,Waste management services,277375 USD,07-08-2018
785258,DE767565,Beverages and Catering,243941 USD,0000-00-00
775574,RO892123,Various paper supplies,116059 EUR,11-08-2018
445275,IT145632,Concierge Services,291666 USD,21-08-2018
324107,RO345879,IT Support,228822 RON,28-08-2018
584299,FR329083,Beverages and Catering,221614 EUR,06-09-2018
844027,DE456232,Concierge Services,319801 EUR,11-09-2018
677801,IT145632,IT Support,96573.6 USD,0000-00-00
587719,RO254678,Professional Services,158713 USD,15-09-2018
384621,RO874231,Various paper supplies,15658.8 EUR,11-09-2018
202261,RO212121,Professional Services,110377 CAD,26-09-2018
987591,RO892123,Waste management services,221210 EUR,15-09-2018
350201,RO094782,Beverages and Catering,353257 RON,08-09-2018
755504,DE456232,Beverages and Catering,258710 USD,0000-00-00
642934,IT145632,IT Support,61021.2 CAD,02-09-2018
394265,DE456232,Beverages and Catering,242884 EUR,20-09-2018
313910,IT754893,Beverages and Catering,267071 RON,03-09-2018
177459,FR322345,Beverages and Catering,134951 CAD,05-09-2018
982351,DE767565,Professional Services,164765 EUR,0000-00-00
839145,RO094782,Professional Services,2914.8 CAD,04-09-2018
114991,IT754893,Waste management services,180180 USD,12-09-2018
302691,FR065748,Various paper supplies,124004 RON,21-09-2018
155033,FR329083,Waste management services,343484 USD,14-09-2018
494065,RO892123,Beverages and Catering,33249.6 CAD,01-10-2018
455123,IT754893,IT Support,140641 RON,16-10-2018
468670,IT754893,IT Support,11862 USD,24-10-2018
749783,RO874231,Beverages and Catering,190645 CAD,05-10-2018
343761,RO254678,Beverages and Catering,328.8 EUR,04-10-2018
241751,RO892123,Various paper supplies,160038 CAD,24-10-2018
720166,RO094782,Waste management services,2316 RON,23-10-2018
175586,IT754893,Professional Services,8102.4 RON,09-10-2018
295611,RO874231,Professional Services,319434 USD,02-10-2018
219218,RO212121,Waste management services,122002 EUR,16-10-2018
831984,RO874231,Beverages and Catering,296468 RON,22-10-2018
356652,RO874231,Various paper supplies,102870 RON,12-10-2018
687321,RO212121,Beverages and Catering,291379 EUR,14-10-2018
550048,FR329083,Professional Services,280889 EUR,22-10-2018
563877,RO212121,Waste management services,229368 CAD,15-10-2018
498562,RO212121,Various paper supplies,103388 RON,15-10-2018
597688,DE456232,Various paper supplies,145699 RON,08-11-2018
954922,RO892123,Concierge Services,195402 USD,16-11-2018
123694,FR329083,Concierge Services,98910 RON,03-11-2018
913155,RO345879,Concierge Services,180328 EUR,13-11-2018
630194,RO892123,Concierge Services,182124 CAD,27-11-2018
738091,RO094782,Various paper supplies,313806 RON,01-11-2018
385569,DE456232,IT Support,112912 CAD,10-11-2018
721685,FR322345,Waste management services,100931 USD,13-11-2018
916651,RO094782,IT Support,312958 EUR,13-11-2018
423067,FR065748,Waste management services,162409 RON,01-11-2018
415498,FR065748,Waste management services,344741 USD,16-11-2018
612972,FR322345,Concierge Services,237451 USD,12-11-2018
945322,RO874231,Various paper supplies,300952 CAD,21-11-2018
181494,RO094782,Concierge Services,140818 USD,01-11-2018
315778,FR322345,Various paper supplies,125510 RON,02-11-2018
248368,DE456232,Various paper supplies,182041 CAD,28-12-2018
450402,DE456232,IT Support,91377.6 CAD,03-12-2018
664791,RO212121,Waste management services,138914 RON,0000-00-00
272516,DE767565,Beverages and Catering,3027.6 EUR,09-12-2018
976790,FR322345,Concierge Services,311598 EUR,04-12-2018
970042,RO254678,Various paper supplies,286472 CAD,13-12-2018
361844,FR329083,Professional Services,277540 EUR,15-12-2018
413664,RO094782,Waste management services,155814 USD,01-12-2018
174179,RO094782,Concierge Services,16713.6 EUR,06-12-2018
527334,IT145632,Various paper supplies,185448 USD,14-12-2018
893955,RO254678,Concierge Services,128596 RON,06-12-2018
880366,FR322345,Various paper supplies,259136 CAD,04-12-2018
771190,FR065748,Beverages and Catering,314779 USD,24-12-2018
250094,DE456232,Concierge Services,226522 USD,20-12-2018
608101,IT754893,IT Support,113244 CAD,20-12-2018
972909,IT754893,Various paper supplies,30624 USD,0000-00-00
665778,DE456232,Beverages and Catering,301979 USD,10-12-2018
